É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2015/06/15 01:54:00

,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`,éRå`
îNåéì˙éû,ãCâ∑(Åé),ãCâ∑(Åé),ãCâ∑(Åé),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ì˙éÀó (MJ/áu),ì˙éÀó (MJ/áu),ì˙éÀó (MJ/áu),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),èˆãCà≥(hPa),èˆãCà≥(hPa),èˆãCà≥(hPa)
,,,,,,,,,,,,,,ïóå¸,ïóå¸,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
1995/8/2 1:00:00,23.5,8,1,9.0,0,8,1,,,0,1,3.0,8,ìÏìÏìå,8,1,,0,1,95,8,1,27.4,8,1
1995/8/2 2:00:00,23.5,8,1,5.5,0,8,1,,,0,1,2.4,8,ìÏ,8,1,,0,1,93,8,1,26.9,8,1
1995/8/2 3:00:00,23.9,8,1,0.5,0,8,1,,,0,1,2.3,8,ìÏ,8,1,,0,1,89,8,1,26.4,8,1
1995/8/2 4:00:00,24.0,8,1,0.0,0,8,1,,,0,1,1.8,8,ìÏêº,8,1,,0,1,88,8,1,26.3,8,1
1995/8/2 5:00:00,23.8,8,1,0,1,8,1,0,1,8,1,2.1,8,ìÏìÏêº,8,1,0.00,8,1,89,8,1,26.3,8,1
1995/8/2 6:00:00,23.2,8,1,0.0,0,8,1,0,1,8,1,0.3,8,ìå,8,1,0.04,8,1,94,8,1,26.6,8,1
1995/8/2 7:00:00,23.8,8,1,0.0,0,8,1,0,1,8,1,1.2,8,ñkñkìå,8,1,0.18,8,1,91,8,1,26.9,8,1
1995/8/2 8:00:00,25.3,8,1,0,1,8,1,0,1,8,1,1.4,8,ìÏìÏêº,8,1,0.31,8,1,80,8,1,26.0,8,1
1995/8/2 9:00:00,26.5,8,1,0,1,8,1,0,1,8,1,2.0,8,ìÏêº,8,1,0.52,8,1,75,8,1,26.1,8,1
1995/8/2 10:00:00,25.4,8,1,0.5,0,8,1,0,1,8,1,3.4,8,ìÏìÏêº,8,1,0.70,8,1,86,8,1,27.8,8,1
1995/8/2 11:00:00,26.2,8,1,0.5,0,8,1,0,1,8,1,2.2,8,ìÏìÏêº,8,1,0.80,8,1,79,8,1,26.9,8,1
1995/8/2 12:00:00,27.2,8,1,0.0,0,8,1,0,1,8,1,3.3,8,ìÏêº,8,1,1.27,8,1,74,8,1,26.6,8,1
1995/8/2 13:00:00,28.4,8,1,0.0,0,8,1,0,1,8,1,2.1,8,ìÏìÏêº,8,1,1.30,8,1,64,8,1,24.9,8,1
1995/8/2 14:00:00,28.8,8,1,0,1,8,1,0,1,8,1,3.8,8,ìÏìÏêº,8,1,1.31,8,1,66,8,1,26.3,8,1
1995/8/2 15:00:00,27.8,8,1,0,1,8,1,0,1,8,1,4.9,8,ìÏìÏêº,8,1,1.16,8,1,72,8,1,26.9,8,1
1995/8/2 16:00:00,27.2,8,1,0,1,8,1,0,1,8,1,4.5,8,ìÏìÏêº,8,1,0.87,8,1,73,8,1,26.4,8,1
1995/8/2 17:00:00,27.0,8,1,0,1,8,1,0,1,8,1,3.2,8,ìÏìÏêº,8,1,0.46,8,1,72,8,1,25.8,8,1
1995/8/2 18:00:00,26.3,8,1,0,1,8,1,0,1,8,1,2.5,8,ìÏêº,8,1,0.14,8,1,76,8,1,26.0,8,1
1995/8/2 19:00:00,24.6,8,1,0.0,0,8,1,0,1,8,1,3.4,8,ìÏìÏêº,8,1,0.01,8,1,85,8,1,26.4,8,1
1995/8/2 20:00:00,23.8,8,1,1.0,0,8,1,,,0,1,2.2,8,ìÏ,8,1,0.00,8,1,91,8,1,26.9,8,1
1995/8/2 21:00:00,23.2,8,1,1.0,0,8,1,,,0,1,1.6,8,ìÏ,8,1,,0,1,93,8,1,26.4,8,1
1995/8/2 22:00:00,22.8,8,1,0.0,0,8,1,,,0,1,1.7,8,ìÏ,8,1,,0,1,92,8,1,25.5,8,1
1995/8/2 23:00:00,22.2,8,1,0.0,0,8,1,,,0,1,1.9,8,ìÏìå,8,1,,0,1,91,8,1,24.4,8,1
1995/8/3 00:00:00,22.1,8,1,0.0,0,8,1,,,0,1,1.9,8,ìÏìå,8,1,,0,1,90,8,1,24.0,8,1
1995/8/3 1:00:00,22.1,8,1,0.0,0,8,1,,,0,1,0.8,8,ìÏìå,8,1,,0,1,91,8,1,24.3,8,1
1995/8/3 2:00:00,22.1,8,1,0.0,0,8,1,,,0,1,0.8,8,ìÏìå,8,1,,0,1,92,8,1,24.4,8,1
1995/8/3 3:00:00,22.3,8,1,0.5,0,8,1,,,0,1,1.6,8,ìÏ,8,1,,0,1,91,8,1,24.4,8,1
1995/8/3 4:00:00,22.1,8,1,0.0,0,8,1,,,0,1,0.4,8,ìåìÏìå,8,1,,0,1,93,8,1,24.9,8,1
1995/8/3 5:00:00,22.5,8,1,0,1,8,1,0,1,8,1,0.0,8,ê√â∏,8,1,0.00,8,1,91,8,1,24.9,8,1
1995/8/3 6:00:00,23.1,8,1,0,1,8,1,0.3,0,8,1,0.4,8,ìÏìÏìå,8,1,0.26,8,1,89,8,1,25.2,8,1
1995/8/3 7:00:00,24.3,8,1,0,1,8,1,0.2,0,8,1,1.5,8,ìÏìÏêº,8,1,0.64,8,1,83,8,1,25.2,8,1
1995/8/3 8:00:00,25.1,8,1,0.0,0,8,1,0,1,8,1,1.4,8,êºìÏêº,8,1,0.76,8,1,77,8,1,24.6,8,1
1995/8/3 9:00:00,25.4,8,1,0.0,0,8,1,0,1,8,1,2.9,8,ìÏêº,8,1,0.70,8,1,81,8,1,26.1,8,1
1995/8/3 10:00:00,26.0,8,1,0.0,0,8,1,0,1,8,1,2.6,8,ìÏêº,8,1,1.16,8,1,74,8,1,24.9,8,1
