É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2015/06/15 02:34:20

,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR
îNåéì˙éû,ãCâ∑(Åé),ãCâ∑(Åé),ãCâ∑(Åé),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ì˙éÀó (MJ/áu),ì˙éÀó (MJ/áu),ì˙éÀó (MJ/áu),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),èˆãCà≥(hPa),èˆãCà≥(hPa),èˆãCà≥(hPa)
,,,,,,,,,,,,,,ïóå¸,ïóå¸,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
1998/10/2 1:00:00,22.3,8,1,2.0,0,8,1,,,0,1,1.6,8,êºìÏêº,8,1,,0,1,94,8,1,25.3,8,1
1998/10/2 2:00:00,21.9,8,1,0.0,0,8,1,,,0,1,1.0,8,ìÏìÏêº,8,1,,0,1,95,8,1,25.0,8,1
1998/10/2 3:00:00,22.0,8,1,0.5,0,8,1,,,0,1,2.2,8,ìÏêº,8,1,,0,1,95,8,1,25.2,8,1
1998/10/2 4:00:00,22.1,8,1,0.0,0,8,1,,,0,1,1.8,8,ìÏìÏêº,8,1,,0,1,95,8,1,25.3,8,1
1998/10/2 5:00:00,22.1,8,1,0.0,0,8,1,,,0,1,2.4,8,êºìÏêº,8,1,,0,1,95,8,1,25.3,8,1
1998/10/2 6:00:00,22.4,8,1,0.0,0,8,1,0,1,8,1,2.6,8,êºìÏêº,8,1,0.00,8,1,91,8,1,24.7,8,1
1998/10/2 7:00:00,23.0,8,1,0,1,8,1,0.2,0,8,1,2.1,8,ìÏêº,8,1,0.17,8,1,89,8,1,25.0,8,1
1998/10/2 8:00:00,24.2,8,1,0,1,8,1,0.6,0,8,1,2.3,8,ìÏêº,8,1,0.64,8,1,85,8,1,25.6,8,1
1998/10/2 9:00:00,22.8,8,1,2.0,0,8,1,0,1,8,1,2.7,8,êº,8,1,0.35,8,1,92,8,1,25.5,8,1
1998/10/2 10:00:00,22.2,8,1,4.5,0,8,1,0,1,8,1,4.7,8,ñkñkêº,8,1,0.36,8,1,94,8,1,25.2,8,1
1998/10/2 11:00:00,23.5,8,1,0.0,0,8,1,0,1,8,1,4.3,8,ñkñkêº,8,1,0.82,8,1,81,8,1,23.5,8,1
1998/10/2 12:00:00,23.3,8,1,0,1,8,1,0,1,8,1,3.6,8,ñkñkêº,8,1,0.76,8,1,74,8,1,21.2,8,1
1998/10/2 13:00:00,23.6,8,1,0,1,8,1,0,1,8,1,2.9,8,ñkñkêº,8,1,0.76,8,1,72,8,1,21.0,8,1
1998/10/2 14:00:00,23.6,8,1,0,1,8,1,0,1,8,1,3.3,8,ñkñkêº,8,1,0.77,8,1,72,8,1,21.0,8,1
1998/10/2 15:00:00,23.2,8,1,0,1,8,1,0,1,8,1,2.4,8,ñkñkêº,8,1,0.76,8,1,72,8,1,20.5,8,1
1998/10/2 16:00:00,22.3,8,1,0.0,0,8,1,0,1,8,1,3.6,8,ñkñkêº,8,1,0.46,8,1,77,8,1,20.8,8,1
1998/10/2 17:00:00,21.7,8,1,0,1,8,1,0,1,8,1,2.8,8,ñk,8,1,0.25,8,1,76,8,1,19.7,8,1
1998/10/2 18:00:00,21.1,8,1,0,1,8,1,0,1,8,1,3.0,8,ñkñkêº,8,1,0.02,8,1,79,8,1,19.7,8,1
1998/10/2 19:00:00,21.3,8,1,0,1,8,1,,,0,1,3.4,8,ñk,8,1,0.00,8,1,75,8,1,19.0,8,1
1998/10/2 20:00:00,20.9,8,1,0,1,8,1,,,0,1,2.1,8,ñkñkìå,8,1,,0,1,77,8,1,19.0,8,1
1998/10/2 21:00:00,20.1,8,1,0,1,8,1,,,0,1,1.9,8,ìÏìå,8,1,,0,1,85,8,1,20.0,8,1
1998/10/2 22:00:00,20.1,8,1,0.0,0,8,1,,,0,1,1.1,8,ìÏìÏêº,8,1,,0,1,87,8,1,20.5,8,1
1998/10/2 23:00:00,20.2,8,1,0,1,8,1,,,0,1,2.0,8,ìÏêº,8,1,,0,1,86,8,1,20.4,8,1
1998/10/3 00:00:00,19.4,8,1,0.0,0,8,1,,,0,1,2.2,8,ìÏìÏêº,8,1,,0,1,92,8,1,20.8,8,1
1998/10/3 1:00:00,19.3,8,1,0,1,8,1,,,0,1,1.8,8,ìÏìÏêº,8,1,,0,1,91,8,1,20.4,8,1
1998/10/3 2:00:00,18.5,8,1,0,1,8,1,,,0,1,1.0,8,êºìÏêº,8,1,,0,1,94,8,1,20.0,8,1
1998/10/3 3:00:00,17.2,8,1,0,1,8,1,,,0,1,0.2,8,ê√â∏,8,1,,0,1,96,8,1,18.9,8,1
1998/10/3 4:00:00,17.1,8,1,0,1,8,1,,,0,1,2.3,8,ìÏêº,8,1,,0,1,96,8,1,18.8,8,1
1998/10/3 5:00:00,16.7,8,1,0,1,8,1,,,0,1,1.9,8,ìÏìÏêº,8,1,,0,1,94,8,1,17.8,8,1
1998/10/3 6:00:00,16.2,8,1,0,1,8,1,0,1,8,1,1.5,8,ìÏêº,8,1,0.00,8,1,93,8,1,17.2,8,1
1998/10/3 7:00:00,17.4,8,1,0,1,8,1,0,1,8,1,1.7,8,ìÏêº,8,1,0.22,8,1,90,8,1,17.8,8,1
1998/10/3 8:00:00,19.3,8,1,0,1,8,1,0.3,0,8,1,1.6,8,ìÏìÏêº,8,1,0.70,8,1,80,8,1,17.9,8,1
1998/10/3 9:00:00,21.0,8,1,0,1,8,1,0.8,0,8,1,2.0,8,ìÏìÏìå,8,1,1.58,8,1,76,8,1,18.9,8,1
1998/10/3 10:00:00,23.0,8,1,0,1,8,1,0.9,0,8,1,3.1,8,ñkìå,8,1,2.23,8,1,66,8,1,18.5,8,1
