É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2015/06/15 03:57:54

,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{
îNåéì˙éû,ãCâ∑(Åé),ãCâ∑(Åé),ãCâ∑(Åé),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ì˙éÀó (MJ/áu),ì˙éÀó (MJ/áu),ì˙éÀó (MJ/áu),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),èˆãCà≥(hPa),èˆãCà≥(hPa),èˆãCà≥(hPa)
,,,,,,,,,,,,,,ïóå¸,ïóå¸,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2008/6/2 1:00:00,16.8,8,1,0,1,8,1,,,0,1,1.2,8,êºìÏêº,8,1,,0,1,81,8,1,15.5,8,1
2008/6/2 2:00:00,16.8,8,1,0,1,8,1,,,0,1,1.1,8,ñkìå,8,1,,0,1,80,8,1,15.3,8,1
2008/6/2 3:00:00,16.3,8,1,0,1,8,1,,,0,1,0.7,8,ìÏìÏêº,8,1,,0,1,80,8,1,14.8,8,1
2008/6/2 4:00:00,16.1,8,1,0,1,8,1,,,0,1,1.4,8,ìÏìÏêº,8,1,,0,1,83,8,1,15.2,8,1
2008/6/2 5:00:00,15.9,8,1,0,1,8,1,0,1,8,1,0.8,8,êºñkêº,8,1,0.00,8,1,82,8,1,14.8,8,1
2008/6/2 6:00:00,16.3,8,1,0,1,8,1,0,1,8,1,0.8,8,êºìÏêº,8,1,0.08,8,1,81,8,1,15.0,8,1
2008/6/2 7:00:00,17.0,8,1,0,1,8,1,0,1,8,1,0.4,8,ñkñkêº,8,1,0.34,8,1,78,8,1,15.1,8,1
2008/6/2 8:00:00,17.1,8,1,0,1,8,1,0,1,8,1,1.3,8,ìÏ,8,1,0.47,8,1,76,8,1,14.8,8,1
2008/6/2 9:00:00,18.5,8,1,0,1,8,1,0,1,8,1,1.3,8,ìÏêº,8,1,1.02,8,1,72,8,1,15.4,8,1
2008/6/2 10:00:00,18.9,8,1,0,1,8,1,0,1,8,1,1.0,8,ìÏêº,8,1,1.04,8,1,69,8,1,15.1,8,1
2008/6/2 11:00:00,19.0,8,1,0,1,8,1,0,1,8,1,1.0,8,ìÏêº,8,1,0.74,8,1,69,8,1,15.2,8,1
2008/6/2 12:00:00,20.2,8,1,0,1,8,1,0,1,8,1,0.9,8,ìÏìÏêº,8,1,0.95,8,1,64,8,1,15.2,8,1
2008/6/2 13:00:00,19.9,8,1,0,1,8,1,0,1,8,1,2.9,8,êº,8,1,0.55,8,1,67,8,1,15.6,8,1
2008/6/2 14:00:00,19.1,8,1,0.0,0,8,1,0,1,8,1,1.7,8,êºìÏêº,8,1,0.39,8,1,72,8,1,15.9,8,1
2008/6/2 15:00:00,18.5,8,1,0.0,0,8,1,0,1,8,1,3.2,8,ìÏêº,8,1,0.46,8,1,69,8,1,14.7,8,1
2008/6/2 16:00:00,18.2,8,1,0.0,0,8,1,0,1,8,1,4.1,8,ìÏêº,8,1,0.50,8,1,68,8,1,14.2,8,1
2008/6/2 17:00:00,17.4,8,1,0,1,8,1,0,1,8,1,3.0,8,ìÏêº,8,1,0.32,8,1,68,8,1,13.5,8,1
2008/6/2 18:00:00,17.4,8,1,0,1,8,1,0,1,8,1,2.3,8,ñkêº,8,1,0.05,8,1,67,8,1,13.3,8,1
2008/6/2 19:00:00,16.8,8,1,0,1,8,1,0,1,8,1,1.4,8,êºñkêº,8,1,0.02,8,1,72,8,1,13.7,8,1
2008/6/2 20:00:00,16.2,8,1,0,1,8,1,,,0,1,2.6,8,êºìÏêº,8,1,0.00,8,1,77,8,1,14.2,8,1
2008/6/2 21:00:00,16.0,8,1,0,1,8,1,,,0,1,2.2,8,êº,8,1,,0,1,78,8,1,14.2,8,1
2008/6/2 22:00:00,15.2,8,1,0.0,0,8,1,,,0,1,1.5,8,êºñkêº,8,1,,0,1,85,8,1,14.7,8,1
2008/6/2 23:00:00,14.6,8,1,1.0,0,8,1,,,0,1,1.7,8,êºñkêº,8,1,,0,1,88,8,1,14.6,8,1
2008/6/3 00:00:00,14.4,8,1,0.5,0,8,1,,,0,1,1.1,8,êº,8,1,,0,1,90,8,1,14.8,8,1
2008/6/3 1:00:00,14.2,8,1,3.5,0,8,1,,,0,1,2.0,8,êºñkêº,8,1,,0,1,92,8,1,14.9,8,1
2008/6/3 2:00:00,14.0,8,1,2.0,0,8,1,,,0,1,0.7,8,êº,8,1,,0,1,92,8,1,14.7,8,1
2008/6/3 3:00:00,13.9,8,1,2.5,0,8,1,,,0,1,1.1,8,êºñkêº,8,1,,0,1,93,8,1,14.8,8,1
2008/6/3 4:00:00,14.0,8,1,2.0,0,8,1,,,0,1,1.4,8,ñkêº,8,1,,0,1,93,8,1,14.9,8,1
2008/6/3 5:00:00,14.0,8,1,2.0,0,8,1,0,1,8,1,0.0,8,ê√â∏,8,1,0.00,8,1,93,8,1,14.9,8,1
2008/6/3 6:00:00,14.2,8,1,3.0,0,8,1,0,1,8,1,0.3,8,ñkìå,8,1,0.02,8,1,93,8,1,15.1,8,1
2008/6/3 7:00:00,14.3,8,1,2.0,0,8,1,0,1,8,1,0.8,8,ñkñkìå,8,1,0.06,8,1,93,8,1,15.2,8,1
2008/6/3 8:00:00,14.7,8,1,3.0,0,8,1,0,1,8,1,1.2,8,ñkñkìå,8,1,0.12,8,1,91,8,1,15.2,8,1
2008/6/3 9:00:00,15.0,8,1,3.0,0,8,1,0,1,8,1,1.1,8,ñkìå,8,1,0.17,8,1,89,8,1,15.2,8,1
2008/6/3 10:00:00,15.3,8,1,1.5,0,8,1,0,1,8,1,0.9,8,ìÏìå,8,1,0.30,8,1,91,8,1,15.8,8,1
2008/6/3 11:00:00,15.4,8,1,1.5,0,8,1,0,1,8,1,0.5,8,ìÏìÏêº,8,1,0.40,8,1,90,8,1,15.8,8,1
