É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2015/06/15 08:34:07

,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{
îNåéì˙éû,ãCâ∑(Åé),ãCâ∑(Åé),ãCâ∑(Åé),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ì˙éÀó (MJ/áu),ì˙éÀó (MJ/áu),ì˙éÀó (MJ/áu),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),èˆãCà≥(hPa),èˆãCà≥(hPa),èˆãCà≥(hPa)
,,,,,,,,,,,,,,ïóå¸,ïóå¸,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2008/12/2 1:00:00,4.4,8,1,0,1,8,1,0,1,8,1,1.7,8,ñkñkìå,8,1,0,8,1,90,8,1,7.5,8,1
2008/12/2 2:00:00,3.9,8,1,0,1,8,1,0,1,8,1,1.8,8,ñk,8,1,0,8,1,90,8,1,7.3,8,1
2008/12/2 3:00:00,3.0,8,1,0,1,8,1,0,1,8,1,2.5,8,ñkñkìå,8,1,0,8,1,91,8,1,6.9,8,1
2008/12/2 4:00:00,2.8,8,1,0,1,8,1,0,1,8,1,2.5,8,ñkñkìå,8,1,0,8,1,91,8,1,6.8,8,1
2008/12/2 5:00:00,2.9,8,1,0,1,8,1,0,1,8,1,2.3,8,ñkìå,8,1,0,8,1,91,8,1,6.8,8,1
2008/12/2 6:00:00,3.2,8,1,0,1,8,1,0,1,8,1,1.9,8,ñkñkìå,8,1,0,8,1,90,8,1,6.9,8,1
2008/12/2 7:00:00,4.0,8,1,0,1,8,1,0,1,8,1,1.5,8,ñkñkìå,8,1,0.00,8,1,85,8,1,6.9,8,1
2008/12/2 8:00:00,4.8,8,1,0,1,8,1,0.8,0,8,1,1.7,8,ñkñkìå,8,1,0.22,8,1,82,8,1,7.1,8,1
2008/12/2 9:00:00,7.7,8,1,0,1,8,1,0.6,0,8,1,0.8,8,ñk,8,1,0.65,8,1,74,8,1,7.8,8,1
2008/12/2 10:00:00,10.1,8,1,0,1,8,1,1.0,0,8,1,0.5,8,ìÏìå,8,1,1.37,8,1,64,8,1,7.9,8,1
2008/12/2 11:00:00,13.2,8,1,0,1,8,1,1.0,0,8,1,1.2,8,ìÏìÏìå,8,1,1.81,8,1,52,8,1,7.9,8,1
2008/12/2 12:00:00,15.2,8,1,0,1,8,1,1.0,0,8,1,1.2,8,ìÏìå,8,1,2.05,8,1,47,8,1,8.1,8,1
2008/12/2 13:00:00,16.7,8,1,0,1,8,1,1.0,0,8,1,0.9,8,ìåìÏìå,8,1,2.05,8,1,47,8,1,8.9,8,1
2008/12/2 14:00:00,17.1,8,1,0,1,8,1,1.0,0,8,1,1.8,8,ìÏìÏêº,8,1,1.85,8,1,45,8,1,8.8,8,1
2008/12/2 15:00:00,16.9,8,1,0,1,8,1,1.0,0,8,1,2.0,8,ìÏìÏêº,8,1,1.44,8,1,47,8,1,9.0,8,1
2008/12/2 16:00:00,17.0,8,1,0,1,8,1,1.0,0,8,1,2.5,8,ìÏêº,8,1,0.87,8,1,49,8,1,9.5,8,1
2008/12/2 17:00:00,15.4,8,1,0,1,8,1,0.9,0,8,1,1.5,8,êºìÏêº,8,1,0.27,8,1,57,8,1,10.0,8,1
2008/12/2 18:00:00,13.1,8,1,0,1,8,1,0.0,0,8,1,2.0,8,êº,8,1,0.00,8,1,67,8,1,10.1,8,1
2008/12/2 19:00:00,11.6,8,1,0,1,8,1,0,1,8,1,0.9,8,ìåìÏìå,8,1,0,8,1,73,8,1,10.0,8,1
2008/12/2 20:00:00,10.7,8,1,0,1,8,1,0,1,8,1,1.3,8,êºìÏêº,8,1,0,8,1,77,8,1,9.9,8,1
2008/12/2 21:00:00,9.8,8,1,0,1,8,1,0,1,8,1,0.9,8,ñk,8,1,0,8,1,82,8,1,9.9,8,1
2008/12/2 22:00:00,8.8,8,1,0,1,8,1,0,1,8,1,1.2,8,ñkñkìå,8,1,0,8,1,86,8,1,9.7,8,1
2008/12/2 23:00:00,8.3,8,1,0,1,8,1,0,1,8,1,1.2,8,ìåìÏìå,8,1,0,8,1,88,8,1,9.6,8,1
2008/12/3 00:00:00,7.9,8,1,0,1,8,1,0,1,8,1,0.9,8,ñk,8,1,0,8,1,87,8,1,9.3,8,1
2008/12/3 1:00:00,7.9,8,1,0,1,8,1,0,1,8,1,0.4,8,ñk,8,1,0,8,1,87,8,1,9.3,8,1
2008/12/3 2:00:00,7.3,8,1,0,1,8,1,0,1,8,1,0.2,8,ê√â∏,8,1,0,8,1,89,8,1,9.1,8,1
2008/12/3 3:00:00,7.7,8,1,0,1,8,1,0,1,8,1,1.1,8,êºñkêº,8,1,0,8,1,87,8,1,9.1,8,1
2008/12/3 4:00:00,8.2,8,1,0.0,0,8,1,0,1,8,1,0.6,8,êºìÏêº,8,1,0,8,1,86,8,1,9.4,8,1
2008/12/3 5:00:00,6.7,8,1,0,1,8,1,0,1,8,1,1.8,8,ñkñkìå,8,1,0,8,1,90,8,1,8.8,8,1
2008/12/3 6:00:00,6.8,8,1,0,1,8,1,0,1,8,1,1.0,8,ñk,8,1,0,8,1,91,8,1,9.0,8,1
2008/12/3 7:00:00,6.8,8,1,0,1,8,1,0,1,8,1,1.5,8,ñk,8,1,0.00,8,1,90,8,1,8.9,8,1
2008/12/3 8:00:00,8.9,8,1,0.0,0,8,1,0.0,0,8,1,2.8,8,ìÏ,8,1,0.03,8,1,83,8,1,9.5,8,1
2008/12/3 9:00:00,9.8,8,1,0,1,8,1,0.4,0,8,1,0.4,8,ìÏìÏìå,8,1,0.43,8,1,79,8,1,9.6,8,1
2008/12/3 10:00:00,12.1,8,1,0,1,8,1,0.9,0,8,1,1.0,8,êºñkêº,8,1,1.11,8,1,70,8,1,9.9,8,1
